,mean,sd,r_hat,ess_bulk,ess_tail
bhmm::e_mu_obs[40],2.5935161366363273,0.31689465529843136,0.9999758164340752,7875.904532495246,6147.825193570905
bhmm::e_mu_obs[41],2.661726276675588,0.3225317175680951,0.9999755489861821,7870.911455527492,6231.146946878892
bhmm::e_mu_obs[42],2.7289555712370457,0.32773005978181147,0.9999766593465017,7867.1783827183635,6243.880812245297
bhmm::e_mu_obs[43],2.7949803662936192,0.3324590408815625,0.9999762983636665,7860.518935094668,6237.98901080411
bhmm::e_mu_obs[44],2.8595731102977258,0.33669096625015105,0.9999757740711831,7853.08854935321,6451.127320681123
bhmm::e_mu_obs[45],2.9225038544372164,0.3404016044466905,0.9999737990855547,7845.45626974358,6388.224091335943
bhmm::e_mu_obs[46],2.9835418564080873,0.343570692490519,0.9999740699720212,7838.512224414945,6507.528503449845
bhmm::e_mu_obs[47],3.0424572683193745,0.3461824148272419,0.999972884631479,7830.043430767137,6688.51094333919
bhmm::e_mu_obs[48],3.0990228903359807,0.34822584073694884,0.9999728690958848,7819.461514778758,6427.871278190717
bhmm::e_mu_obs[49],3.1530159751914817,0.34969530400922055,0.9999696548156931,7807.182704777825,6645.5325555115505
bhmm::e_mu_obs[50],3.20422006360329,0.3505907187686372,0.9999686747454436,7791.7512899232315,6589.368328514322
bhmm::e_mu_obs[51],3.2524268204465425,0.35091782405415806,0.9999673221761692,7777.232723871375,6723.157053034484
bhmm::e_mu_obs[52],3.297437842178274,0.3506883448413202,0.9999695176863712,7763.569182602208,6781.320392540447
bhmm::e_mu_obs[53],3.339066406689736,0.34992005495380246,0.9999682299880033,7745.926011083779,6766.736865305323
bhmm::e_mu_obs[54],3.3771391439912923,0.3486367279717835,0.9999723176040652,7730.455586291887,6796.146923320618
bhmm::e_mu_obs[55],3.4114976048815997,0.34686797326090796,0.9999752238949641,7712.323512695551,6728.427099811339
bhmm::e_mu_obs[56],3.4419997011162837,0.3446489535868379,0.9999777278026012,7691.806898608054,6733.108785046945
bhmm::e_mu_obs[57],3.4685209918287887,0.34201998123378313,0.9999788216098408,7671.222258749026,6716.612075185472
bhmm::e_mu_obs[58],3.49095579055677,0.33902598431080866,0.9999793055872975,7650.713835691077,6814.945673218417
bhmm::e_mu_obs[59],3.5092180796973067,0.3357158380602106,0.9999818985367557,7630.488574307326,6818.252230403569
bhmm::e_mu_obs[60],3.523242226763299,0.33214157202005024,0.9999806861600906,7614.7609532497,6699.755050633865
bhmm::e_mu_obs[61],3.5329834897449217,0.32835746820499767,0.9999802189054846,7593.936747672947,6473.584492135242
bhmm::e_mu_obs[62],3.538418294354221,0.32441905809573796,0.9999835035588075,7569.651362916273,6473.234339409843
bhmm::e_mu_obs[63],3.539544277859163,0.32038202352806017,0.9999844799753982,7545.017209865445,6482.097766848166
bhmm::e_mu_obs[64],3.536380118798743,0.31630103402823245,0.9999888437574301,7527.326025476258,6331.609194550928
bhmm::e_mu_obs[65],3.5289651707059457,0.31222857067824444,0.9999934524932387,7500.576466251135,6344.694829998033
bhmm::e_mu_obs[66],3.5173588654475667,0.3082137550368726,0.99999602100031,7479.765293356803,6177.848052356807
bhmm::e_mu_obs[67],3.5016398992682687,0.30430121218163964,1.0000003824322008,7453.435122481021,6033.625907046436
bhmm::e_mu_obs[68],3.4819053031187277,0.30053005273390754,1.0000040692563696,7429.89109774697,5966.046247736255
bhmm::e_mu_obs[69],3.4582693290438673,0.2969330044185388,1.0000584078361439,7408.511923620724,6057.397139981745
bhmm::e_mu_obs[70],3.4308621270058204,0.2935357155901293,1.0001139218883828,7390.631929579847,5944.147219886174
bhmm::e_mu_obs[71],3.399828437348493,0.2903563139123835,1.0000968156407233,7375.328917185294,5901.303282904855
bhmm::e_mu_obs[72],3.365326091099619,0.28740521213566067,1.0000376626733605,7363.641963223405,5890.707740516985
bhmm::e_mu_obs[73],3.3275244305560006,0.28468518033773116,1.0001808274487216,7348.2042391080495,5869.202938181212
bhmm::e_mu_obs[74],3.2866027880474418,0.28219169888891227,1.0002330190871265,7332.901422082747,5869.906335249535
bhmm::e_mu_obs[75],3.2427488329561083,0.2799135350027832,1.000264664457068,7320.658710980272,5870.03389303355
bhmm::e_mu_obs[76],3.196156929833564,0.2778335455629924,1.000323665727505,7316.102132632125,5874.1189217311185
bhmm::e_mu_obs[77],3.14702660068181,0.27592961745451433,1.0003113676036068,7311.430434142242,5941.368431897122
bhmm::e_mu_obs[78],3.095560912891301,0.274175727013397,1.0001691523219798,7305.066738596582,5874.433909369148
bhmm::e_mu_obs[79],3.041964999220265,0.272543021430865,1.000107904231618,7306.378471205348,5919.190207144461
bhmm::e_mu_obs[80],2.9864446291923468,0.2710009193933221,1.0000508534684045,7303.157333692715,6067.884209763429
bhmm::e_mu_obs[81],2.9292047817945916,0.2695181097985516,1.0000497921775535,7305.169765597046,6067.6396681356055
bhmm::e_mu_obs[82],2.870448505194927,0.2680635060557788,1.0000517496081862,7305.84907006707,6032.215837032202
bhmm::e_mu_obs[83],2.810375589564441,0.26660703521617607,1.0000556003079908,7312.31648019337,6057.343376151368
bhmm::e_mu_obs[84],2.7491817003488275,0.2651203329589081,1.000055128692719,7286.872034952272,6105.66869541579
bhmm::e_mu_obs[85],2.6870572188969,0.26357724150582723,1.0000558146739704,7237.311359706346,5904.1286839731165
bhmm::e_mu_obs[86],2.62418658330379,0.2619542523692989,1.0000555886181717,7187.692319470654,6128.579040253116
bhmm::e_mu_obs[87],2.560747455718685,0.2602307272146917,1.000060800275038,7141.050489339002,6069.808001873017
bhmm::e_mu_obs[88],2.4969101288877984,0.2583890803912485,1.0000584256368004,7104.17645909665,6049.873309960432
bhmm::e_mu_obs[89],2.4328370471889214,0.25641482321632303,1.0000573815094163,7070.387371779236,5928.747734256018
bhmm::e_mu_obs[90],2.368682355466707,0.25429651335516795,1.000057529744163,7051.646054142732,5715.374352236402
bhmm::e_mu_obs[91],2.304591624944269,0.25202568934331715,1.0000575804610894,7028.24418103757,5846.016058090867
bhmm::e_mu_obs[92],2.2407016205044363,0.24959668476366836,1.000056495763039,7003.947436036317,5932.369207096961
bhmm::e_mu_obs[93],2.177140178716544,0.24700645491466486,1.0000528678166747,6998.405808878462,5983.274202937049
bhmm::e_mu_obs[94],2.1140261547341415,0.2442543566821774,1.0000522775916647,6982.676855054477,6005.026797945441
bhmm::e_mu_obs[95],2.0514694416929773,0.2413419075494445,1.0000578311671433,6959.066575036919,5863.703527295139
bhmm::e_mu_obs[96],1.9895710609883674,0.23827254730329733,1.000056062059213,6967.792561219683,5841.168518797878
bhmm::e_mu_obs[97],1.9284233065534422,0.2350513943230577,1.0000544954568862,6973.688207760501,5738.276285227781
bhmm::e_mu_obs[98],1.8681099295922876,0.23168500340929413,1.0000514170126016,6987.815085499022,5833.630890082577
bhmm::e_mu_obs[99],1.808706385177111,0.22818113713312801,1.000064466649664,6992.304159212622,5686.641934231759
bhmm::e_mu_obs[100],1.7502801046705256,0.22454854783458267,1.0000474655882345,7001.292368245985,5750.017890087447
bhmm::e_mu_obs[101],1.6928907908769397,0.22079677060633618,1.0000593701959848,7010.571244252382,5766.533460588722
bhmm::e_mu_obs[102],1.636590754635511,0.21693593663326088,1.000067389944446,7025.318954876261,5933.570956679811
bhmm::e_mu_obs[103],1.5814252599045138,0.21297660119742792,1.0000465626662738,7046.401088273894,6153.489812146166
bhmm::e_mu_obs[104],1.5274328813154188,0.20892958528581154,1.0000468286893962,7062.531388730934,6098.836606093374
bhmm::e_mu_obs[105],1.4746458742028694,0.20480583950840361,1.0000593827109658,7079.237069923475,6262.988510560017
bhmm::e_mu_obs[106],1.4230905525977413,0.20061632038609628,1.0000779734703444,7098.285993552587,6268.650403909596
bhmm::e_mu_obs[107],1.3727876634272878,0.19637188316956025,1.000058664889679,7107.612305987918,6103.372056082033
bhmm::e_mu_obs[108],1.3237527572560417,0.19208318996159404,1.0000626374253,7115.924546128324,6097.313967595569
bhmm::e_mu_obs[109],1.275996562491865,0.18776063085806396,1.0000518169183807,7067.888041613812,6115.564572115131
bhmm::e_mu_obs[110],1.2295253467637755,0.1834142600907926,1.0000409046108052,7076.490003072942,6067.967647571324
bhmm::e_mu_obs[111],1.1843412667537359,0.17905374086117323,1.0000412636353608,7083.339216721884,6243.685892614369
