parameter,draws_used,mcse,running_mean
bhmm::class_re_sd,666,0.008226894437632897,0.8944220838907825
bhmm::class_re_sd,833,0.007007266015321843,0.8933862805510828
bhmm::class_re_sd,999,0.006578471423006554,0.8905641132366682
bhmm::class_re_sd,1166,0.0059619277812262205,0.8898811238292121
bhmm::class_re_sd,1333,0.0056710659191368615,0.8878970051158601
bhmm::class_re_sd,1500,0.0053270068657623485,0.887673218140587
bhmm::class_re_sd,1666,0.005070468591036641,0.8875502199222741
bhmm::class_re_sd,1833,0.00480835680607607,0.889631319443549
bhmm::class_re_sd,2000,0.004559093113815351,0.8880383485321864
bhmm::hyper_log_R0_mu,166,0.03339687128673371,0.898460036775782
bhmm::hyper_log_R0_mu,333,0.023620173730644282,0.8635289862456033
bhmm::hyper_log_R0_mu,500,0.017734097103384597,0.8783068088116841
bhmm::hyper_log_R0_mu,666,0.01590985125349433,0.9069705104995306
bhmm::hyper_log_R0_mu,833,0.01388539675411059,0.9163050951678127
bhmm::hyper_log_R0_mu,999,0.012924830068730487,0.9224451729791983
bhmm::hyper_log_R0_mu,1166,0.011727292528905638,0.9246976261926363
bhmm::hyper_log_R0_mu,1333,0.01155066227191082,0.9320172908959514
bhmm::hyper_log_R0_mu,1500,0.010688082996516326,0.9320985172929547
bhmm::hyper_log_R0_mu,1666,0.010054187318456306,0.9333154687748653
bhmm::hyper_log_R0_mu,1833,0.009483566299382282,0.9419006753214562
bhmm::hyper_log_R0_mu,2000,0.00936565052364895,0.9375552676407122
bhmm::hyper_log_R0_sd,166,0.012736114511173192,0.7099175407995268
bhmm::hyper_log_R0_sd,333,0.009265444642477994,0.7093098526182773
bhmm::hyper_log_R0_sd,500,0.008011207989187733,0.7110737302488345
bhmm::hyper_log_R0_sd,666,0.006728750687302263,0.7103674938333543
bhmm::hyper_log_R0_sd,833,0.005867248193890605,0.713907042591246
bhmm::hyper_log_R0_sd,999,0.005449313278480198,0.7108937935406495
