,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
bhmm::e_mu_obs[35],2.2451463273641696,0.28334174005052193,1.822835460918499,2.7277720923864313,7892.106336619809,6044.710869364266,0.9999786951064391,0.003185615344984424,0.0030850294765662417
bhmm::e_mu_obs[36],2.315130760150343,0.29064597406966863,1.8812990435180907,2.8092989016318213,7889.72095333586,6099.038597705071,0.9999773509646039,0.003268042447300627,0.003153311653686195
bhmm::e_mu_obs[37],2.3851508647349053,0.2976907996685118,1.940443266939502,2.8915256254951043,7889.133988851112,6087.811199000311,0.9999773840769101,0.0033476429667081233,0.0032173590071382582
bhmm::e_mu_obs[38],2.4550203549502267,0.3044385372159701,1.999776478473239,2.972324061674151,7885.88368711108,6099.588761961375,0.9999769295612585,0.0034240056122225066,0.003276776752242153
bhmm::e_mu_obs[39],2.524543535899943,0.31085193984026105,2.0585281772648334,3.0524261128216037,7880.0677336702765,6147.412022205657,0.9999772231972729,0.0034967248352290137,0.00333120122676751
bhmm::e_mu_obs[40],2.5935161366363273,0.31689465529843136,2.1182374936549557,3.1312913933924778,7875.904532495246,6147.825193570905,0.9999758164340752,0.0035654059504176307,0.0033803081535611137
bhmm::e_mu_obs[41],2.661726276675588,0.3225317175680951,2.1767515448340653,3.2071867511167227,7870.911455527492,6231.146946878892,0.9999755489861821,0.0036296705591899567,0.0034238212436824215
bhmm::e_mu_obs[42],2.7289555712370457,0.32773005978181147,2.2351868452079784,3.283267540820685,7867.1783827183635,6243.880812245297,0.9999766593465017,0.0036891621759273558,0.0034615209475837953
bhmm::e_mu_obs[43],2.7949803662936192,0.3324590408815625,2.292920445086735,3.3577850387979593,7860.518935094668,6237.98901080411,0.9999762983636665,0.003743551972876856,0.003493253113550673
bhmm::e_mu_obs[44],2.8595731102977258,0.33669096625015105,2.351495347702544,3.427101176239159,7853.08854935321,6451.127320681123,0.9999757740711831,0.00379254442010819,0.0035189373843544963
bhmm::e_mu_obs[45],2.9225038544372164,0.3404016044466905,2.407517919067759,3.494805244027271,7845.45626974358,6388.224091335943,0.9999737990855547,0.0038358828379801146,0.0035385750952047585
bhmm::e_mu_obs[46],2.9835418564080873,0.343570692490519,2.464110714960413,3.559310605058345,7838.512224414945,6507.528503449845,0.9999740699720212,0.0038733547763993214,0.0035522564177347623
